
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =1740
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.641   TIME= 00:06:05
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   00:06:05  FEB 19, 2018 CP=      0.641

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
      85   -0.17237E+000  -0.52043E+000  -0.17217E+000   0.80299E-001   0.71927E-001   0.83294E-002
      86   -0.22082E+000  -0.51526E+000  -0.22082E+000   0.99984E-001   0.54314E-001  -0.57448E-017
      87   -0.15340E+000  -0.44796E+000  -0.16155E+000   0.82327E-001   0.38329E-001  -0.37220E-002
      88   -0.21309E+000  -0.49721E+000  -0.21309E+000   0.10614E+000   0.22346E-001   0.15180E-017
      89   -0.14896E+000  -0.44073E+000  -0.16513E+000   0.78241E-001   0.87245E-002   0.46787E-002
      90   -0.13087E+000  -0.43401E+000  -0.15936E+000   0.70350E-001  -0.16173E-002  -0.65611E-003
      91   -0.16947E+000  -0.44646E+000  -0.18087E+000   0.79001E-001  -0.32421E-002  -0.66007E-002
      92   -0.14858E+000  -0.44262E+000  -0.15777E+000   0.74618E-001  -0.24830E-001   0.36155E-002
      93   -0.21419E+000  -0.49977E+000  -0.21419E+000   0.91407E-001  -0.34029E-001   0.00000E+000
      94   -0.21270E+000  -0.49598E+000  -0.18996E+000   0.10351E+000  -0.54494E-001  -0.83238E-004
      95   -0.19199E+000  -0.52142E+000  -0.17415E+000   0.99312E-001  -0.84698E-001  -0.88182E-002
      96    0.59175E-003  -0.39874E+000   0.59209E-003  -0.62791E-003   0.62825E-003  -0.36162E-004
      97    0.31370E-003  -0.39836E+000   0.45685E-003  -0.70969E-003   0.77590E-003   0.48087E-004
      98    0.11878E-002  -0.39342E+000   0.11430E-002  -0.85470E-003   0.17300E-002   0.56785E-003
      99    0.11707E-002  -0.39080E+000   0.11444E-002  -0.17433E-002   0.30204E-002   0.92459E-003
     100    0.22156E-002  -0.37859E+000   0.27935E-002  -0.17775E-002   0.38082E-002   0.24523E-002
     101   -0.51821E-003  -0.37973E+000   0.49640E-003  -0.22618E-002   0.35506E-002   0.19922E-002
     102    0.90424E-003  -0.36933E+000   0.13991E-002  -0.19229E-002   0.31090E-002   0.18785E-002
     103    0.20505E-002  -0.36170E+000   0.13886E-002  -0.54596E-003   0.35759E-002   0.24452E-002
     104   -0.16389E-002  -0.36212E+000   0.61295E-003   0.35987E-002   0.17481E-002   0.88713E-003
     105   -0.96399E-002  -0.37036E+000  -0.76772E-002   0.12003E-001  -0.42770E-002   0.11509E-002
     106   -0.28938E-001  -0.40496E+000  -0.18969E-001   0.25073E-001  -0.17376E-001  -0.13576E-002
     107   -0.10937E+000  -0.50597E+000  -0.10897E+000   0.67537E-001  -0.68757E-001  -0.17695E-001
     108    0.60284E-003  -0.39823E+000   0.94756E-003  -0.87583E-003  -0.10473E-002   0.11402E-003
     109    0.80439E-003  -0.39768E+000   0.29794E-002  -0.14997E-002  -0.23022E-002   0.34618E-003
     110    0.75833E-003  -0.39897E+000   0.37522E-002  -0.12313E-002  -0.19678E-002   0.29998E-003
     111    0.13149E-002  -0.39985E+000   0.55974E-002  -0.94206E-003  -0.80186E-003  -0.18522E-003
