
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =      13.031   TIME= 23:08:17
 The selected element set contains mixed materials.                      
  This could invalidate error estimation.                                

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   23:08:17  JAN 29, 2018 CP=     13.062

 Standard Hole--Static Structural (E5)                                         


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     189   -0.54081E+003  -0.29946E+003   0.38063E+001   0.10760E+001  -0.72492E+001   0.24215E+003
     190   -0.46193E+003  -0.23851E+003  -0.26147E+002  -0.32809E+001  -0.70118E+001   0.23440E+003
     191   -0.37575E+003  -0.17384E+003  -0.57163E+002  -0.57956E+001  -0.47713E+001   0.18500E+003
     192   -0.29505E+003  -0.11427E+003  -0.80093E+002  -0.58341E+001  -0.19000E+001   0.11462E+003
     193   -0.22550E+003  -0.65672E+002  -0.94043E+002  -0.41876E+001   0.56506E+000   0.44951E+002
     194   -0.16609E+003  -0.28257E+002  -0.99883E+002  -0.20349E+001   0.22360E+001  -0.92314E+001
     195   -0.11488E+003  -0.18073E+000  -0.99066E+002  -0.23097E+000   0.32625E+001  -0.43347E+002
     196   -0.73369E+002   0.18913E+002  -0.93355E+002   0.93837E+000   0.38567E+001  -0.59873E+002
     197   -0.42131E+002   0.30268E+002  -0.83282E+002   0.15352E+001   0.40994E+001  -0.63802E+002
     198   -0.20255E+002   0.35743E+002  -0.69939E+002   0.17379E+001   0.40367E+001  -0.60188E+002
     199   -0.56609E+001   0.37550E+002  -0.54833E+002   0.17165E+001   0.37358E+001  -0.52885E+002
     200    0.40031E+001   0.37706E+002  -0.39619E+002   0.16071E+001   0.32875E+001  -0.44309E+002
     201    0.10967E+002   0.38007E+002  -0.25571E+002   0.14893E+001   0.27511E+001  -0.35481E+002
     202    0.16958E+002   0.40015E+002  -0.13855E+002   0.14557E+001   0.21158E+001  -0.26132E+002
     203    0.23913E+002   0.45775E+002  -0.56665E+001   0.15932E+001   0.12586E+001  -0.14790E+002
     204    0.31350E+002   0.15101E+002  -0.73047E+001  -0.47015E+001  -0.57024E+001   0.35568E+000
     205    0.21272E+002   0.51452E+001  -0.18970E+002  -0.51605E+001  -0.98676E+001  -0.34441E+000
     206    0.15885E+002  -0.11449E+001  -0.36475E+002  -0.59165E+001  -0.12979E+002  -0.24926E+001
     207    0.12171E+002  -0.64134E+001  -0.58801E+002  -0.70270E+001  -0.15553E+002  -0.68532E+001
     208    0.71698E+001  -0.13163E+002  -0.85213E+002  -0.86277E+001  -0.17597E+002  -0.14536E+002
     209   -0.26877E+001  -0.24311E+002  -0.11446E+003  -0.10926E+002  -0.18473E+002  -0.27269E+002
     210   -0.22550E+002  -0.43764E+002  -0.14253E+003  -0.13900E+002  -0.16715E+002  -0.47441E+002
     211   -0.62003E+002  -0.77259E+002  -0.15888E+003  -0.17098E+002  -0.97236E+001  -0.76315E+002
     212   -0.13957E+003  -0.13597E+003  -0.15248E+003  -0.15467E+002   0.32128E+001  -0.10597E+003
     213   -0.26579E+003  -0.22327E+003  -0.11884E+003  -0.44974E+001   0.15881E+002  -0.11666E+003
     214   -0.42125E+003  -0.32215E+003  -0.63229E+002   0.12709E+002   0.20333E+002  -0.86625E+002
     215   -0.56247E+003  -0.40607E+003  -0.85341E+001   0.30014E+002   0.12471E+002  -0.79621E+001
     216   -0.63991E+003  -0.44364E+003   0.20939E+002   0.38349E+002  -0.63346E+001   0.10142E+003
     217   -0.62583E+003  -0.41544E+003   0.16151E+002   0.30772E+002  -0.25305E+002   0.20260E+003
